T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641991208.154761150s,1641991208.156036877s,1641991208.156039891s,1641991208.157658077s,0.001276s,0.001618s,0.001447s,-0.000171,0.003727541
1641991208.157658077s,1641991208.158904954s,1641991208.158934423s,1641991208.158407408s,0.001247s,-0.000527s,0.000360s,0.000887,0.00372886
1641991208.158407408s,1641991208.159659954s,1641991208.159693872s,1641991208.159158478s,0.001252s,-0.000535s,0.000358s,0.000894,0.003728397
1641991208.159158478s,1641991208.160393372s,1641991208.160424710s,1641991208.159912907s,0.001235s,-0.000512s,0.000362s,0.000873,0.003726778
1641991208.159912907s,1641991208.161148409s,1641991208.161185310s,1641991208.160773855s,0.001235s,-0.000412s,0.000412s,0.000823,0.003724633
1641991208.160773855s,1641991208.161887267s,1641991208.161924419s,1641991208.161539603s,0.001113s,-0.000385s,0.000364s,0.000749,0.003724964
1641991208.161539603s,1641991208.162780391s,1641991208.162809586s,1641991208.162273461s,0.001241s,-0.000536s,0.000352s,0.000888,0.003723437
1641991208.162273461s,1641991208.163503762s,1641991208.163530878s,1641991208.163018467s,0.001230s,-0.000512s,0.000359s,0.000871,0.003730842
1641991208.163018467s,1641991208.164854583s,1641991208.164884187s,1641991208.164426773s,0.001836s,-0.000457s,0.000689s,0.001147,0.003730016
1641991208.164426773s,1641991208.165686294s,1641991208.165711375s,1641991208.166850389s,0.001260s,0.001139s,0.001199s,0.00006,0.003728129
1641991208.166850389s,1641991208.168114410s,1641991208.168142061s,1641991208.167638571s,0.001264s,-0.000504s,0.000380s,0.000884,0.003727866
1641991208.167638571s,1641991208.168957157s,1641991208.168992051s,1641991208.168471521s,0.001319s,-0.000520s,0.000399s,0.00092,0.003726937
1641991208.168471521s,1641991208.169716764s,1641991208.169748269s,1641991208.169214601s,0.001245s,-0.000534s,0.000356s,0.00089,0.003725578
1641991208.169214601s,1641991208.170459948s,1641991208.170502692s,1641991208.169992656s,0.001245s,-0.000510s,0.000368s,0.000878,0.003720727
1641991208.169992656s,1641991208.171277183s,1641991208.171318004s,1641991208.170781012s,0.001285s,-0.000537s,0.000374s,0.000911,0.003721259
1641991208.170781012s,1641991208.172162766s,1641991208.172192208s,1641991208.171670087s,0.001382s,-0.000522s,0.000430s,0.000952,0.003721422
1641991208.171670087s,1641991208.172920912s,1641991208.172952747s,1641991208.173095892s,0.001251s,0.000143s,0.000697s,0.000554,0.003720971
1641991208.173095892s,1641991208.174375586s,1641991208.174406806s,1641991208.173889691s,0.001280s,-0.000517s,0.000381s,0.000898,0.003720402
1641991208.173889691s,1641991208.175157514s,1641991208.175182662s,1641991208.174657401s,0.001268s,-0.000525s,0.000371s,0.000897,0.003720638
1641991208.174657401s,1641991208.175937628s,1641991208.175989285s,1641991208.175466755s,0.001280s,-0.000523s,0.000379s,0.000901,0.003720587
1641991208.175466755s,1641991208.176719244s,1641991208.176742155s,1641991208.177551849s,0.001252s,0.000810s,0.001031s,0.000221,0.003720472
1641991208.177551849s,1641991208.178811993s,1641991208.178842167s,1641991208.178348205s,0.001260s,-0.000494s,0.000383s,0.000877,0.003720931
1641991208.178348205s,1641991208.179604500s,1641991208.179643898s,1641991208.179126854s,0.001256s,-0.000517s,0.000370s,0.000887,0.00371138
1641991208.179126854s,1641991208.180449834s,1641991208.180473603s,1641991208.179933589s,0.001323s,-0.000540s,0.000391s,0.000932,0.003705189
1641991208.179933589s,1641991208.181156198s,1641991208.181194581s,1641991208.180664261s,0.001223s,-0.000530s,0.000346s,0.000876,0.00370493
1641991208.180664261s,1641991208.181902411s,1641991208.181939601s,1641991208.181411693s,0.001238s,-0.000528s,0.000355s,0.000883,0.003704228
1641991208.181411693s,1641991208.182674268s,1641991208.182703454s,1641991208.182152017s,0.001262s,-0.000551s,0.000355s,0.000907,0.003704033
1641991208.182152017s,1641991208.183385675s,1641991208.183419918s,1641991208.182904892s,0.001234s,-0.000515s,0.000359s,0.000874,0.003704262
1641991208.182904892s,1641991208.184171029s,1641991208.184204723s,1641991208.183681215s,0.001266s,-0.000524s,0.000371s,0.000895,0.003704503
1641991208.183681215s,1641991208.184911429s,1641991208.184940762s,1641991208.184430980s,0.001230s,-0.000510s,0.000360s,0.00087,0.003704211
1641991208.184430980s,1641991208.185690554s,1641991208.185729425s,1641991208.185238138s,0.001260s,-0.000491s,0.000384s,0.000875,0.003704506
1641991208.185238138s,1641991208.186490159s,1641991208.186518277s,1641991208.185993084s,0.001252s,-0.000525s,0.000363s,0.000888,0.003705306
1641991208.185993084s,1641991208.187244300s,1641991208.187278370s,1641991208.186752417s,0.001251s,-0.000526s,0.000363s,0.000889,0.003706005
1641991208.186752417s,1641991208.188047740s,1641991208.188049822s,1641991208.187572233s,0.001295s,-0.000478s,0.000409s,0.000886,0.00370026
1641991208.187572233s,1641991208.188703125s,1641991208.188730760s,1641991208.188262224s,0.001131s,-0.000468s,0.000331s,0.0008,0.003700904
1641991208.188262224s,1641991208.189507065s,1641991208.189541078s,1641991208.188988301s,0.001245s,-0.000553s,0.000346s,0.000899,0.003701108
1641991208.188988301s,1641991208.190170752s,1641991208.190202533s,1641991208.189682756s,0.001183s,-0.000520s,0.000331s,0.000851,0.00370032
1641991208.189682756s,1641991208.190923022s,1641991208.190954850s,1641991208.190417643s,0.001240s,-0.000537s,0.000351s,0.000889,0.003699669
1641991208.190417643s,1641991208.191717306s,1641991208.191745265s,1641991208.191285337s,0.001300s,-0.000460s,0.000420s,0.00088,0.003698664
1641991208.191285337s,1641991208.192612646s,1641991208.192615394s,1641991208.193154227s,0.001327s,0.000539s,0.000933s,0.000394,0.003693502
1641991208.193154227s,1641991208.194416392s,1641991208.194450338s,1641991208.193919998s,0.001262s,-0.000530s,0.000366s,0.000896,0.00369142
1641991208.193919998s,1641991208.195206879s,1641991208.195236289s,1641991208.194693304s,0.001287s,-0.000543s,0.000372s,0.000915,0.00369095
1641991208.194693304s,1641991208.195928811s,1641991208.195951880s,1641991208.195449933s,0.001235s,-0.000502s,0.000367s,0.000869,0.003700846
1641991208.195449933s,1641991208.196695159s,1641991208.196723946s,1641991208.196179484s,0.001245s,-0.000545s,0.000350s,0.000895,0.003714533
1641991208.196179484s,1641991208.197445911s,1641991208.197462777s,1641991208.196926017s,0.001266s,-0.000537s,0.000365s,0.000902,0.003729801
1641991208.196926017s,1641991208.198167475s,1641991208.198193707s,1641991208.197675099s,0.001241s,-0.000519s,0.000361s,0.00088,0.003736745
1641991208.197675099s,1641991208.198917576s,1641991208.198951320s,1641991208.198414702s,0.001243s,-0.000536s,0.000353s,0.00089,0.003735014
1641991208.198414702s,1641991208.199674677s,1641991208.199712432s,1641991208.199174664s,0.001260s,-0.000538s,0.000361s,0.000899,0.003733913
1641991208.199174664s,1641991208.200412776s,1641991208.200447948s,1641991208.199892527s,0.001238s,-0.000556s,0.000341s,0.000897,0.003732327
1641991208.199892527s,1641991208.201142149s,1641991208.201175031s,1641991208.200650642s,0.001250s,-0.000524s,0.000363s,0.000887,0.003729838
1641991208.200650642s,1641991208.201906090s,1641991208.201953637s,1641991208.201412339s,0.001256s,-0.000541s,0.000357s,0.000898,0.003729126
1641991208.201412339s,1641991208.202670310s,1641991208.202702401s,1641991208.202174354s,0.001258s,-0.000528s,0.000365s,0.000893,0.003737761
1641991208.202174354s,1641991208.203407539s,1641991208.203433416s,1641991208.206842760s,0.001233s,0.003409s,0.002321s,-0.001088,0.003734994
1641991208.206842760s,1641991208.208104654s,1641991208.208145427s,1641991208.207611296s,0.001262s,-0.000534s,0.000364s,0.000898,0.00374252
1641991208.207611296s,1641991208.208853911s,1641991208.208876341s,1641991208.208342005s,0.001243s,-0.000534s,0.000354s,0.000888,0.003741772
1641991208.208342005s,1641991208.209596292s,1641991208.209598508s,1641991208.209076187s,0.001254s,-0.000522s,0.000366s,0.000888,0.003739797
1641991208.209076187s,1641991208.210325216s,1641991208.210350478s,1641991208.209796455s,0.001249s,-0.000554s,0.000347s,0.000902,0.003737145
1641991208.209796455s,1641991208.211028973s,1641991208.211050731s,1641991208.210505764s,0.001233s,-0.000545s,0.000344s,0.000889,0.003736284
1641991208.210505764s,1641991208.211762946s,1641991208.211788244s,1641991208.211293613s,0.001257s,-0.000494s,0.000381s,0.000876,0.003749056
1641991208.211293613s,1641991208.212605412s,1641991208.212607393s,1641991208.212069035s,0.001312s,-0.000538s,0.000387s,0.000925,0.003758813
1641991208.212069035s,1641991208.213308939s,1641991208.213311029s,1641991208.212756125s,0.001240s,-0.000555s,0.000343s,0.000897,0.003764697
1641991208.212756125s,1641991208.214055697s,1641991208.214058723s,1641991208.213880069s,0.001300s,-0.000179s,0.000561s,0.000739,0.003763689
1641991208.213880069s,1641991208.215107725s,1641991208.215132600s,1641991208.214578965s,0.001228s,-0.000554s,0.000337s,0.000891,0.003762046
1641991208.214578965s,1641991208.215801642s,1641991208.215833810s,1641991208.215317012s,0.001223s,-0.000517s,0.000353s,0.00087,0.003760754
1641991208.215317012s,1641991208.216500357s,1641991208.216538979s,1641991208.216045802s,0.001183s,-0.000493s,0.000345s,0.000838,0.003765162
