T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641512159.550240220s,1641512159.551626834s,1641512159.552109839s,1641512159.550995393s,0.001387s,-0.001115s,0.000136s,0.001251s
1641512159.551271910s,1641512159.552740428s,1641512159.553173065s,1641512159.552163493s,0.001468s,-0.001009s,0.000229s,0.001239s
1641512159.552441937s,1641512159.553793382s,1641512159.554237475s,1641512159.553201746s,0.001352s,-0.001036s,0.000158s,0.001194s
1641512159.553649881s,1641512159.555065695s,1641512159.555439261s,1641512159.554381252s,0.001416s,-0.001058s,0.000179s,0.001237s
1641512159.554789856s,1641512159.556141241s,1641512159.556514519s,1641512159.555399401s,0.001351s,-0.001115s,0.000118s,0.001233s
1641512159.555830140s,1641512159.557185139s,1641512159.557607217s,1641512159.556445466s,0.001355s,-0.001162s,0.000097s,0.001258s
1641512159.556949436s,1641512159.558245773s,1641512159.558744555s,1641512159.557567680s,0.001296s,-0.001177s,0.000060s,0.001237s
1641512159.557975085s,1641512159.559394919s,1641512159.559894020s,1641512159.558796666s,0.001420s,-0.001097s,0.000161s,0.001259s
1641512159.559180321s,1641512159.560532545s,1641512159.561094014s,1641512159.560031538s,0.001352s,-0.001062s,0.000145s,0.001207s
1641512159.560517747s,1641512159.561979289s,1641512159.562614005s,1641512159.561517041s,0.001462s,-0.001097s,0.000182s,0.001279s
1641512159.561935801s,1641512159.563358417s,1641512159.563691056s,1641512159.562616389s,0.001422s,-0.001075s,0.000174s,0.001249s
1641512159.563127859s,1641512159.564483339s,1641512159.564825513s,1641512159.563693914s,0.001356s,-0.001132s,0.000112s,0.001244s
1641512159.564251166s,1641512159.565604869s,1641512159.566011651s,1641512159.564887275s,0.001354s,-0.001124s,0.000115s,0.001239s
1641512159.565282752s,1641512159.566642687s,1641512159.566904702s,1641512159.565800369s,0.001360s,-0.001104s,0.000128s,0.001232s
1641512159.566200534s,1641512159.567642266s,1641512159.568100823s,1641512159.566996906s,0.001442s,-0.001104s,0.000169s,0.001273s
1641512159.567352383s,1641512159.568777876s,1641512159.569210513s,1641512159.568116515s,0.001426s,-0.001094s,0.000166s,0.001260s
1641512159.568469232s,1641512159.569789934s,1641512159.570339915s,1641512159.569269094s,0.001321s,-0.001071s,0.000125s,0.001196s
1641512159.569637123s,1641512159.571061383s,1641512159.571416101s,1641512159.570367713s,0.001424s,-0.001048s,0.000188s,0.001236s
1641512159.570643969s,1641512159.572066978s,1641512159.572435200s,1641512159.571384715s,0.001423s,-0.001050s,0.000186s,0.001237s
1641512159.571658524s,1641512159.572995805s,1641512159.573442554s,1641512159.572377342s,0.001337s,-0.001065s,0.000136s,0.001201s
1641512159.572665734s,1641512159.574082231s,1641512159.574402837s,1641512159.573303353s,0.001416s,-0.001099s,0.000159s,0.001258s
1641512159.573582266s,1641512159.574854962s,1641512159.575351504s,1641512159.574171706s,0.001273s,-0.001180s,0.000046s,0.001226s
1641512159.574548330s,1641512159.575887117s,1641512159.576250891s,1641512159.575086363s,0.001339s,-0.001164s,0.000087s,0.001252s
1641512159.575401110s,1641512159.576775656s,1641512159.577323589s,1641512159.576202899s,0.001374s,-0.001121s,0.000127s,0.001248s
1641512159.576471863s,1641512159.577816802s,1641512159.578315648s,1641512159.577255631s,0.001345s,-0.001060s,0.000142s,0.001202s
1641512159.577544284s,1641512159.578857405s,1641512159.579292698s,1641512159.578168986s,0.001313s,-0.001124s,0.000095s,0.001219s
1641512159.578518108s,1641512159.579855639s,1641512159.580248277s,1641512159.579185519s,0.001338s,-0.001063s,0.000137s,0.001200s
