T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641992398.899884524s,1641992398.900350024s,1641992398.900369816s,1641992398.900665091s,0.000466s,0.000295s,0.000380s,0.000085,0.00302693
1641992398.900665091s,1641992398.901111439s,1641992398.901148045s,1641992398.901471153s,0.000446s,0.000323s,0.000385s,0.000062,0.003024145
1641992398.901471153s,1641992398.901940349s,1641992398.901984275s,1641992398.902328247s,0.000469s,0.000344s,0.000407s,0.000063,0.003021597
1641992398.902328247s,1641992398.902808037s,1641992398.902834062s,1641992398.903154035s,0.000480s,0.000320s,0.000400s,0.00008,0.003019944
1641992398.903154035s,1641992398.903621329s,1641992398.903642748s,1641992398.903933939s,0.000467s,0.000291s,0.000379s,0.000088,0.003017138
1641992398.903933939s,1641992398.904385672s,1641992398.904407550s,1641992398.904728514s,0.000452s,0.000321s,0.000386s,0.000065,0.003013798
1641992398.904728514s,1641992398.905173413s,1641992398.905194121s,1641992398.905574631s,0.000445s,0.000381s,0.000413s,0.000032,0.00301214
1641992398.905574631s,1641992398.906039756s,1641992398.906080000s,1641992398.906369005s,0.000465s,0.000289s,0.000377s,0.000088,0.003010642
1641992398.906369005s,1641992398.906803357s,1641992398.906831796s,1641992398.907109781s,0.000434s,0.000278s,0.000356s,0.000078,0.003009293
1641992398.907109781s,1641992398.907561287s,1641992398.907595787s,1641992398.907942268s,0.000452s,0.000346s,0.000399s,0.000053,0.003007682
1641992398.907942268s,1641992398.908397077s,1641992398.908437648s,1641992398.908797997s,0.000455s,0.000360s,0.000407s,0.000047,0.003006224
1641992398.908797997s,1641992398.909272888s,1641992398.909295338s,1641992398.909595395s,0.000475s,0.000300s,0.000388s,0.000087,0.003005821
1641992398.909595395s,1641992398.910044786s,1641992398.910066751s,1641992398.910395359s,0.000449s,0.000329s,0.000389s,0.00006,0.003005396
1641992398.910395359s,1641992398.910840408s,1641992398.910884804s,1641992398.911230322s,0.000445s,0.000345s,0.000395s,0.00005,0.003002829
1641992398.911230322s,1641992398.911696322s,1641992398.911738424s,1641992398.912052998s,0.000466s,0.000315s,0.000390s,0.000076,0.003024188
1641992398.912052998s,1641992398.912480155s,1641992398.912526301s,1641992398.913169845s,0.000427s,0.000643s,0.000535s,-0.000108,0.003040975
1641992398.913169845s,1641992398.913659364s,1641992398.913702054s,1641992398.914715928s,0.000489s,0.001014s,0.000752s,-0.000262,0.003036131
1641992398.914715928s,1641992398.915171690s,1641992398.915228079s,1641992398.915562994s,0.000456s,0.000335s,0.000395s,0.00006,0.003033437
1641992398.915562994s,1641992398.916024709s,1641992398.916046249s,1641992398.916409917s,0.000462s,0.000364s,0.000413s,0.000049,0.003032009
1641992398.916409917s,1641992398.916972782s,1641992398.916974836s,1641992398.917281524s,0.000563s,0.000307s,0.000435s,0.000128,0.00302936
1641992398.917281524s,1641992398.917745209s,1641992398.917791450s,1641992398.918131552s,0.000463s,0.000340s,0.000402s,0.000062,0.003027776
1641992398.918131552s,1641992398.918604576s,1641992398.918643826s,1641992398.918964446s,0.000473s,0.000321s,0.000397s,0.000076,0.003025853
1641992398.918964446s,1641992398.919444707s,1641992398.919462782s,1641992398.919784063s,0.000480s,0.000321s,0.000401s,0.00008,0.003025126
1641992398.919784063s,1641992398.920255794s,1641992398.920257781s,1641992398.920595969s,0.000472s,0.000338s,0.000405s,0.000067,0.003024075
1641992398.920595969s,1641992398.921065811s,1641992398.921099199s,1641992398.921420355s,0.000470s,0.000321s,0.000396s,0.000074,0.00302332
1641992398.921420355s,1641992398.921873091s,1641992398.921914949s,1641992398.922278232s,0.000453s,0.000363s,0.000408s,0.000045,0.003021928
1641992398.922278232s,1641992398.922752152s,1641992398.922770241s,1641992398.923107337s,0.000474s,0.000337s,0.000406s,0.000068,0.003020964
1641992398.923107337s,1641992398.923570448s,1641992398.923621835s,1641992398.923984192s,0.000463s,0.000362s,0.000413s,0.00005,0.003020092
1641992398.923984192s,1641992398.924443716s,1641992398.924551367s,1641992398.924872359s,0.000459s,0.000321s,0.000390s,0.000069,0.003017682
1641992398.924872359s,1641992398.925355591s,1641992398.925454379s,1641992398.925773381s,0.000483s,0.000319s,0.000401s,0.000082,0.003026329
1641992398.925773381s,1641992398.926258392s,1641992398.926275972s,1641992398.926568203s,0.000485s,0.000292s,0.000389s,0.000096,0.003024753
1641992398.926568203s,1641992398.927051625s,1641992398.927076288s,1641992398.927384190s,0.000483s,0.000308s,0.000396s,0.000088,0.003021795
1641992398.927384190s,1641992398.927829667s,1641992398.927867370s,1641992398.928190664s,0.000446s,0.000323s,0.000384s,0.000061,0.003020159
1641992398.928190664s,1641992398.928652459s,1641992398.928705529s,1641992398.929033757s,0.000462s,0.000328s,0.000395s,0.000067,0.003018707
1641992398.929033757s,1641992398.929446923s,1641992398.929469349s,1641992398.929792970s,0.000413s,0.000324s,0.000368s,0.000045,0.003017866
1641992398.929792970s,1641992398.930408932s,1641992398.930411159s,1641992398.930743875s,0.000616s,0.000333s,0.000474s,0.000142,0.003016325
1641992398.930743875s,1641992398.931273807s,1641992398.931389500s,1641992398.931764868s,0.000530s,0.000375s,0.000453s,0.000077,0.003014598
1641992398.931764868s,1641992398.932216628s,1641992398.932238849s,1641992398.932556988s,0.000452s,0.000318s,0.000385s,0.000067,0.00301315
1641992398.932556988s,1641992398.933146769s,1641992398.933150973s,1641992398.933582030s,0.000590s,0.000431s,0.000510s,0.000079,0.003011938
1641992398.933582030s,1641992398.934448641s,1641992398.934490261s,1641992398.934838211s,0.000867s,0.000348s,0.000607s,0.000259,0.003011077
1641992398.934838211s,1641992398.935258198s,1641992398.935277402s,1641992398.935579571s,0.000420s,0.000302s,0.000361s,0.000059,0.00301039
1641992398.935579571s,1641992398.936074129s,1641992398.936133127s,1641992398.936476244s,0.000494s,0.000343s,0.000419s,0.000076,0.003009623
1641992398.936476244s,1641992398.936933486s,1641992398.936952923s,1641992398.937271464s,0.000457s,0.000319s,0.000388s,0.000069,0.003008559
1641992398.937271464s,1641992398.937743415s,1641992398.937776589s,1641992398.938489441s,0.000472s,0.000713s,0.000592s,-0.00012,0.003007571
1641992398.938489441s,1641992398.938943107s,1641992398.938964640s,1641992398.939358950s,0.000454s,0.000394s,0.000424s,0.00003,0.003005788
1641992398.939358950s,1641992398.939824948s,1641992398.939842825s,1641992398.940265892s,0.000466s,0.000423s,0.000445s,0.000022,0.003004245
1641992398.940265892s,1641992398.941477747s,1641992398.941498506s,1641992398.941856446s,0.001212s,0.000358s,0.000785s,0.000427,0.003003161
1641992398.941856446s,1641992398.942543461s,1641992398.942572986s,1641992398.942911304s,0.000687s,0.000338s,0.000513s,0.000174,0.003001958
