T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,ptp,quic
1641990854.183138593s,1641990854.173447177s,1641990854.173472782s,1641990854.188435543s,-0.009691s,0.014963s,0.002636s,-0.012327,-0.007017848
1641990854.188435543s,1641990854.178709673s,1641990854.178726011s,1641990854.189256892s,-0.009726s,0.010531s,0.000403s,-0.010128,-0.007020432
1641990854.189256892s,1641990854.179495409s,1641990854.179535979s,1641990854.190008363s,-0.009762s,0.010473s,0.000355s,-0.010117,-0.007025351
1641990854.190008363s,1641990854.180253467s,1641990854.180273915s,1641990854.190705960s,-0.009755s,0.010432s,0.000339s,-0.010093,-0.0070267
1641990854.190705960s,1641990854.180996215s,1641990854.181014608s,1641990854.191473986s,-0.009710s,0.010459s,0.000375s,-0.010085,-0.007028103
1641990854.191473986s,1641990854.181786162s,1641990854.181788272s,1641990854.192859743s,-0.009688s,0.011071s,0.000692s,-0.01038,-0.007029049
1641990854.192859743s,1641990854.183134356s,1641990854.183136401s,1641990854.194960112s,-0.009725s,0.011824s,0.001049s,-0.010774,-0.007031314
1641990854.194960112s,1641990854.185228629s,1641990854.185257014s,1641990854.195859806s,-0.009732s,0.010603s,0.000436s,-0.010167,-0.007033328
1641990854.195859806s,1641990854.186086343s,1641990854.186107619s,1641990854.196586140s,-0.009773s,0.010478s,0.000353s,-0.010126,-0.007035389
1641990854.196586140s,1641990854.186853126s,1641990854.186877093s,1641990854.197359697s,-0.009733s,0.010483s,0.000375s,-0.010108,-0.007036681
1641990854.197359697s,1641990854.187633043s,1641990854.187652946s,1641990854.198111204s,-0.009727s,0.010458s,0.000366s,-0.010092,-0.007038658
1641990854.198111204s,1641990854.188341990s,1641990854.188364276s,1641990854.198858854s,-0.009769s,0.010494s,0.000363s,-0.010132,-0.007039944
1641990854.198858854s,1641990854.189117469s,1641990854.189138706s,1641990854.199627367s,-0.009741s,0.010489s,0.000374s,-0.010115,-0.007042805
1641990854.199627367s,1641990854.189837247s,1641990854.189857744s,1641990854.200324434s,-0.009790s,0.010467s,0.000338s,-0.010128,-0.007045059
1641990854.200324434s,1641990854.190566292s,1641990854.190582178s,1641990854.201062894s,-0.009758s,0.010481s,0.000361s,-0.010119,-0.007047243
1641990854.201062894s,1641990854.191335866s,1641990854.191358606s,1641990854.201806432s,-0.009727s,0.010448s,0.000360s,-0.010087,-0.007049573
1641990854.201806432s,1641990854.192042158s,1641990854.192059968s,1641990854.202545304s,-0.009764s,0.010485s,0.000360s,-0.010125,-0.007052345
1641990854.202545304s,1641990854.192778914s,1641990854.192800177s,1641990854.203287417s,-0.009767s,0.010487s,0.000360s,-0.010127,-0.007054743
1641990854.203287417s,1641990854.193467489s,1641990854.193488247s,1641990854.204151105s,-0.009820s,0.010663s,0.000421s,-0.010241,-0.007056106
1641990854.204151105s,1641990854.194409091s,1641990854.194430747s,1641990854.204884422s,-0.009742s,0.010454s,0.000356s,-0.010098,-0.007058346
1641990854.204884422s,1641990854.195135353s,1641990854.195155206s,1641990854.205710339s,-0.009749s,0.010555s,0.000403s,-0.010152,-0.007059481
1641990854.205710339s,1641990854.195994841s,1641990854.196021353s,1641990854.206497899s,-0.009716s,0.010477s,0.000381s,-0.010096,-0.007061989
1641990854.206497899s,1641990854.196740578s,1641990854.196760534s,1641990854.207210109s,-0.009757s,0.010450s,0.000346s,-0.010103,-0.00706326
1641990854.207210109s,1641990854.197461805s,1641990854.197482403s,1641990854.207940975s,-0.009748s,0.010459s,0.000355s,-0.010103,-0.007064388
1641990854.207940975s,1641990854.198181295s,1641990854.198201719s,1641990854.208683140s,-0.009760s,0.010482s,0.000361s,-0.010121,-0.007066003
1641990854.208683140s,1641990854.198930488s,1641990854.198980898s,1641990854.213094266s,-0.009753s,0.014113s,0.002180s,-0.011933,-0.007067302
1641990854.213094266s,1641990854.203352026s,1641990854.203371150s,1641990854.213819621s,-0.009742s,0.010448s,0.000353s,-0.010095,-0.007069798
