T1,T2,T3,T4,T2-T1,T4-T3,MPD_S,OFF_S
1641515163.376041033s,1641515163.386992803s,1641515163.387229058s,1641515163.376513127s,0.010952s,-0.010716s,0.000118s,0.010834s
1641515163.376959492s,1641515163.387918783s,1641515163.388222238s,1641515163.377461378s,0.010959s,-0.010761s,0.000099s,0.010860s
1641515163.377859513s,1641515163.388865115s,1641515163.389275993s,1641515163.378659115s,0.011006s,-0.010617s,0.000194s,0.010811s
1641515163.379058603s,1641515163.390123926s,1641515163.390738355s,1641515163.380022428s,0.011065s,-0.010716s,0.000175s,0.010890s
1641515163.380327435s,1641515163.391262449s,1641515163.391710383s,1641515163.380991565s,0.010935s,-0.010719s,0.000108s,0.010827s
1641515163.381387356s,1641515163.392415980s,1641515163.392737739s,1641515163.382082268s,0.011029s,-0.010655s,0.000187s,0.010842s
1641515163.382491184s,1641515163.393463912s,1641515163.393879014s,1641515163.383093021s,0.010973s,-0.010786s,0.000093s,0.010879s
1641515163.383509801s,1641515163.394467140s,1641515163.394742371s,1641515163.383971791s,0.010957s,-0.010771s,0.000093s,0.010864s
1641515163.384374196s,1641515163.395328736s,1641515163.395579359s,1641515163.384835614s,0.010955s,-0.010744s,0.000106s,0.010849s
1641515163.385129579s,1641515163.396088157s,1641515163.396328220s,1641515163.385550057s,0.010958s,-0.010778s,0.000090s,0.010868s
1641515163.385873294s,1641515163.396830458s,1641515163.397071449s,1641515163.386343774s,0.010957s,-0.010728s,0.000115s,0.010842s
1641515163.386649354s,1641515163.397610199s,1641515163.397848246s,1641515163.387111188s,0.010961s,-0.010737s,0.000112s,0.010849s
1641515163.387429268s,1641515163.398400499s,1641515163.398613650s,1641515163.387845215s,0.010971s,-0.010768s,0.000101s,0.010870s
1641515163.388167462s,1641515163.399121744s,1641515163.399362703s,1641515163.388608410s,0.010954s,-0.010754s,0.000100s,0.010854s
1641515163.388939668s,1641515163.399894349s,1641515163.400161484s,1641515163.389454368s,0.010955s,-0.010707s,0.000124s,0.010831s
1641515163.389698332s,1641515163.400651818s,1641515163.400891689s,1641515163.390179645s,0.010954s,-0.010712s,0.000121s,0.010833s
1641515163.390427359s,1641515163.401380327s,1641515163.401600998s,1641515163.390894401s,0.010953s,-0.010707s,0.000123s,0.010830s
1641515163.391137740s,1641515163.402086500s,1641515163.402347427s,1641515163.391598949s,0.010949s,-0.010748s,0.000100s,0.010849s
1641515163.391850205s,1641515163.402801313s,1641515163.403024000s,1641515163.392304643s,0.010951s,-0.010719s,0.000116s,0.010835s
1641515163.392548867s,1641515163.403501118s,1641515163.403718461s,1641515163.393003096s,0.010952s,-0.010715s,0.000118s,0.010834s
1641515163.393258207s,1641515163.404170363s,1641515163.404431578s,1641515163.393719988s,0.010912s,-0.010712s,0.000100s,0.010812s
1641515163.394002287s,1641515163.404950232s,1641515163.405154135s,1641515163.394447193s,0.010948s,-0.010707s,0.000120s,0.010828s
1641515163.394737148s,1641515163.405693365s,1641515163.405926228s,1641515163.395198252s,0.010956s,-0.010728s,0.000114s,0.010842s
1641515163.395439560s,1641515163.406400146s,1641515163.406651345s,1641515163.395956916s,0.010961s,-0.010694s,0.000133s,0.010827s
1641515163.396233589s,1641515163.407199439s,1641515163.407437102s,1641515163.396698756s,0.010966s,-0.010738s,0.000114s,0.010852s
1641515163.397092880s,1641515163.408047915s,1641515163.408304138s,1641515163.397521067s,0.010955s,-0.010783s,0.000086s,0.010869s
1641515163.397943264s,1641515163.408898311s,1641515163.409171558s,1641515163.398457912s,0.010955s,-0.010714s,0.000121s,0.010834s
1641515163.398840473s,1641515163.409794212s,1641515163.410039459s,1641515163.399266837s,0.010954s,-0.010773s,0.000091s,0.010863s
1641515163.400523273s,1641515163.411476957s,1641515163.411831867s,1641515163.401727624s,0.010954s,-0.010104s,0.000425s,0.010529s
1641515163.406506434s,1641515163.417545731s,1641515163.418120417s,1641515163.407442028s,0.011039s,-0.010678s,0.000180s,0.010859s
1641515163.407942144s,1641515163.418972765s,1641515163.419486011s,1641515163.408836019s,0.011031s,-0.010650s,0.000190s,0.010840s
1641515163.410029120s,1641515163.421053653s,1641515163.422620686s,1641515163.412068856s,0.011024s,-0.010552s,0.000236s,0.010788s
1641515163.413739051s,1641515163.424760133s,1641515163.425353923s,1641515163.414742720s,0.011021s,-0.010611s,0.000205s,0.010816s
1641515163.415980926s,1641515163.427000700s,1641515163.429736272s,1641515163.419101520s,0.011020s,-0.010635s,0.000193s,0.010827s
1641515163.420119617s,1641515163.431139787s,1641515163.432761284s,1641515163.422119091s,0.011020s,-0.010642s,0.000189s,0.010831s
1641515163.422500246s,1641515163.433521281s,1641515163.433800383s,1641515163.423136615s,0.011021s,-0.010664s,0.000179s,0.010842s
1641515163.423728191s,1641515163.434696540s,1641515163.435142426s,1641515163.424512480s,0.010968s,-0.010630s,0.000169s,0.010799s
1641515163.425043691s,1641515163.436062710s,1641515163.436303605s,1641515163.425614069s,0.011019s,-0.010689s,0.000165s,0.010854s
1641515163.425954806s,1641515163.436898035s,1641515163.437482704s,1641515163.426773783s,0.010943s,-0.010709s,0.000117s,0.010826s
1641515163.427070509s,1641515163.438048302s,1641515163.438253325s,1641515163.427600001s,0.010978s,-0.010653s,0.000162s,0.010816s
1641515163.427977093s,1641515163.439005354s,1641515163.439242153s,1641515163.428538929s,0.011028s,-0.010703s,0.000163s,0.010866s
1641515163.428877531s,1641515163.439817414s,1641515163.440202725s,1641515163.429566297s,0.010940s,-0.010636s,0.000152s,0.010788s
1641515163.429866616s,1641515163.440812706s,1641515163.441015937s,1641515163.430305481s,0.010946s,-0.010710s,0.000118s,0.010828s
1641515163.430566216s,1641515163.441544767s,1641515163.441775934s,1641515163.431069509s,0.010978s,-0.010706s,0.000136s,0.010842s
1641515163.431350870s,1641515163.442283580s,1641515163.442681242s,1641515163.431983593s,0.010933s,-0.010698s,0.000118s,0.010815s
1641515163.432293131s,1641515163.443263000s,1641515163.443527415s,1641515163.432854290s,0.010970s,-0.010673s,0.000148s,0.010822s
1641515163.433172735s,1641515163.444098868s,1641515163.444496531s,1641515163.433848584s,0.010926s,-0.010648s,0.000139s,0.010787s
1641515163.434202134s,1641515163.445228016s,1641515163.445458575s,1641515163.434836889s,0.011026s,-0.010622s,0.000202s,0.010824s
1641515163.435229033s,1641515163.446250923s,1641515163.446575914s,1641515163.435878424s,0.011022s,-0.010697s,0.000162s,0.010860s
1641515163.436270829s,1641515163.447298855s,1641515163.447583302s,1641515163.436900583s,0.011028s,-0.010683s,0.000173s,0.010855s
1641515163.437573932s,1641515163.448600066s,1641515163.448823873s,1641515163.438127956s,0.011026s,-0.010696s,0.000165s,0.010861s
1641515163.438904588s,1641515163.449926812s,1641515163.450463578s,1641515163.440240245s,0.011022s,-0.010223s,0.000399s,0.010623s
1641515163.440685880s,1641515163.451654741s,1641515163.451879668s,1641515163.441249852s,0.010969s,-0.010630s,0.000169s,0.010799s
1641515163.441659549s,1641515163.452684433s,1641515163.452922992s,1641515163.442276021s,0.011025s,-0.010647s,0.000189s,0.010836s
1641515163.442828534s,1641515163.453856780s,1641515163.454075339s,1641515163.443405110s,0.011028s,-0.010670s,0.000179s,0.010849s
1641515163.443743712s,1641515163.454662376s,1641515163.454994439s,1641515163.444354664s,0.010919s,-0.010640s,0.000139s,0.010779s
1641515163.444753892s,1641515163.455775908s,1641515163.455999139s,1641515163.445358542s,0.011022s,-0.010641s,0.000191s,0.010831s
1641515163.445606412s,1641515163.456587648s,1641515163.456786783s,1641515163.446104809s,0.010981s,-0.010682s,0.000149s,0.010832s
1641515163.446422160s,1641515163.457346781s,1641515163.457684732s,1641515163.447038164s,0.010925s,-0.010647s,0.000139s,0.010786s
1641515163.447336400s,1641515163.458277081s,1641515163.458679128s,1641515163.448043448s,0.010941s,-0.010636s,0.000152s,0.010788s
1641515163.448339341s,1641515163.459288821s,1641515163.459649716s,1641515163.448963157s,0.010950s,-0.010687s,0.000131s,0.010818s
1641515163.449255820s,1641515163.460205585s,1641515163.460541488s,1641515163.449872866s,0.010950s,-0.010669s,0.000141s,0.010809s
1641515163.450213082s,1641515163.461230029s,1641515163.461451468s,1641515163.450776377s,0.011017s,-0.010675s,0.000171s,0.010846s
1641515163.451067634s,1641515163.462090889s,1641515163.462367368s,1641515163.451727284s,0.011023s,-0.010640s,0.000192s,0.010832s
1641515163.451980520s,1641515163.462963526s,1641515163.463175589s,1641515163.452479021s,0.010983s,-0.010696s,0.000143s,0.010840s
1641515163.452826008s,1641515163.463844418s,1641515163.464125313s,1641515163.453477482s,0.011018s,-0.010648s,0.000185s,0.010833s
1641515163.453777749s,1641515163.464711454s,1641515163.465071453s,1641515163.454369586s,0.010934s,-0.010702s,0.000116s,0.010818s
1641515163.454781002s,1641515163.465797626s,1641515163.466030585s,1641515163.455386849s,0.011017s,-0.010644s,0.000186s,0.010830s
1641515163.455804463s,1641515163.466775286s,1641515163.467050581s,1641515163.456327028s,0.010971s,-0.010724s,0.000124s,0.010847s
1641515163.456754798s,1641515163.467779410s,1641515163.468007345s,1641515163.457296790s,0.011025s,-0.010710s,0.000157s,0.010868s
1641515163.457710706s,1641515163.468735854s,1641515163.469036460s,1641515163.458327804s,0.011025s,-0.010709s,0.000158s,0.010867s
1641515163.458739011s,1641515163.469762633s,1641515163.470076456s,1641515163.459366995s,0.011024s,-0.010710s,0.000157s,0.010867s
1641515163.459779452s,1641515163.470804677s,1641515163.471032612s,1641515163.460337226s,0.011025s,-0.010695s,0.000165s,0.010860s
1641515163.460716714s,1641515163.471740865s,1641515163.471970848s,1641515163.461330739s,0.011024s,-0.010640s,0.000192s,0.010832s
1641515163.461763353s,1641515163.472786461s,1641515163.473013212s,1641515163.462336491s,0.011023s,-0.010677s,0.000173s,0.010850s
1641515163.462622279s,1641515163.473557049s,1641515163.473913784s,1641515163.463280732s,0.010935s,-0.010633s,0.000151s,0.010784s
1641515163.463655897s,1641515163.474680277s,1641515163.474901428s,1641515163.464238359s,0.011024s,-0.010663s,0.000181s,0.010844s
1641515163.464473937s,1641515163.475435282s,1641515163.475649393s,1641515163.464927229s,0.010961s,-0.010722s,0.000120s,0.010842s
1641515163.465226872s,1641515163.476164367s,1641515163.476497037s,1641515163.465829802s,0.010937s,-0.010667s,0.000135s,0.010802s
1641515163.466241687s,1641515163.477265834s,1641515163.477491433s,1641515163.466776804s,0.011024s,-0.010715s,0.000155s,0.010869s
1641515163.467194157s,1641515163.478225254s,1641515163.478577604s,1641515163.467945685s,0.011031s,-0.010632s,0.000200s,0.010832s
1641515163.468359705s,1641515163.479389377s,1641515163.479647040s,1641515163.468976491s,0.011030s,-0.010670s,0.000180s,0.010850s
1641515163.469410772s,1641515163.480437021s,1641515163.480699068s,1641515163.469988285s,0.011026s,-0.010711s,0.000158s,0.010869s
1641515163.470407670s,1641515163.481428185s,1641515163.481682904s,1641515163.470978881s,0.011020s,-0.010704s,0.000158s,0.010862s
1641515163.471382224s,1641515163.482357301s,1641515163.482906130s,1641515163.472225004s,0.010975s,-0.010681s,0.000147s,0.010828s
1641515163.472533918s,1641515163.483509072s,1641515163.484109581s,1641515163.473442845s,0.010975s,-0.010667s,0.000154s,0.010821s
1641515163.473712852s,1641515163.484701131s,1641515163.485202889s,1641515163.474493391s,0.010988s,-0.010709s,0.000139s,0.010849s
1641515163.474790012s,1641515163.485744647s,1641515163.486226405s,1641515163.475522581s,0.010955s,-0.010704s,0.000125s,0.010829s
1641515163.475847120s,1641515163.486841698s,1641515163.487329952s,1641515163.476647660s,0.010995s,-0.010682s,0.000156s,0.010839s
1641515163.476961678s,1641515163.487913469s,1641515163.488391995s,1641515163.477693153s,0.010952s,-0.010699s,0.000126s,0.010825s
1641515163.478088892s,1641515163.489113176s,1641515163.489526679s,1641515163.478883858s,0.011024s,-0.010643s,0.000191s,0.010834s
1641515163.479188136s,1641515163.490144948s,1641515163.490633458s,1641515163.479977530s,0.010957s,-0.010656s,0.000150s,0.010806s
