quic,OFF_S
0.009532928,0.010822s
0.014877677,0.010824s
0.010255933,0.010834s
0.013495803,0.010832s
0.010481358,0.010862s
0.012398243,0.010831s
0.013267398,0.010823s
0.013258457,0.010851s
0.013620138,0.010797s
0.013545275,0.010838s
0.010489821,0.010874s
0.010121584,0.010830s
0.011201382,0.010804s
0.010267735,0.010807s
0.010387301,0.010819s
0.009597778,0.010807s
0.010376096,0.010857s
0.01282537,0.010849s
0.012730241,0.010813s
0.012863755,0.010823s
0.010657072,0.010815s
0.012384295,0.010867s
0.011833668,0.010853s
0.010354519,0.010851s
0.011948347,0.010846s
0.009556413,0.010848s
0.012902617,0.010872s
0.015826702,0.010854s
0.01326704,0.010827s
0.013749957,0.010836s
0.011655807,0.010831s
0.013290763,0.010828s
0.013077855,0.010851s
0.013283253,0.010837s
0.013402224,0.010824s
0.013399005,0.010854s
0.013552547,0.010836s
0.013386846,0.010853s
0.013493896,0.010824s
0.013785601,0.010866s
0.010224938,0.010819s
0.011029243,0.010822s
0.01033783,0.010802s
0.014324069,0.010861s
0.010676265,0.010834s
0.009480476,0.010862s
0.010163307,0.010827s
0.010206461,0.010824s
0.014241338,0.010859s
0.010622144,0.010862s
0.01406908,0.010792s
0.010069251,0.010823s
0.010283589,0.010805s
0.010167241,0.010824s
0.010116339,0.010870s
0.01386857,0.010829s
0.013371587,0.010830s
0.013161302,0.010858s
0.012438416,0.010873s
0.014725327,0.010847s
0.013622165,0.010825s
0.013446331,0.010836s
0.010437369,0.010854s
0.010195255,0.010870s
0.010257721,0.010826s
0.010976434,0.010846s
0.014591098,0.010806s
0.01384449,0.010857s
0.013333559,0.010859s
0.013492107,0.010828s
0.010298133,0.010828s
0.0131706,0.010834s
0.014240861,0.010826s
0.013808489,0.010865s
0.013625264,0.010850s
0.013358474,0.010843s
0.010316849,0.010833s
0.016023278,0.010843s
0.010240316,0.010843s
0.014508605,0.010827s
0.013123631,0.010849s
0.010441184,0.010843s
0.009973168,0.010808s
0.010379195,0.010848s
0.009507537,0.010840s
0.013737082,0.010842s
0.013485909,0.010869s
0.013496757,0.010840s
0.010413885,0.010871s
0.012584448,0.010831s
0.01327455,0.010787s
0.013645887,0.010857s
0.013771176,0.010853s
0.014003873,0.010826s
0.010036707,0.010858s
0.011236668,0.010843s
0.013790607,0.010803s
0.014142752,0.010816s
0.010320425,0.010805s
0.010312438,0.010791s
0.01038456,0.010861s
0.01026845,0.010827s
0.013570428,0.010831s
0.010487914,0.010861s
0.010161996,0.010834s
0.011192679,0.010831s
0.012424827,0.010833s
0.013773322,0.010826s
0.01026988,0.010852s
0.010396957,0.010836s
0.01439786,0.010850s
0.013415575,0.010841s
0.013317823,0.010855s
0.014141798,0.010859s
0.013290882,0.010824s
0.010236859,0.010857s
0.013135195,0.010832s
0.013969541,0.010862s
0.01544416,0.010848s
0.014694214,0.010831s
0.010389686,0.010855s
0.010891438,0.010849s
0.011411071,0.010864s
0.013991714,0.010831s
0.013103008,0.010856s
0.013638496,0.010841s
0.01037097,0.010870s
0.012627721,0.010861s
0.015297771,0.010862s
0.010731339,0.010844s
0.014338255,0.010819s
0.014127135,0.010818s
0.017385721,0.010806s
0.014126658,0.010804s
0.013947845,0.010809s
0.01051271,0.010800s
0.013596654,0.010849s
0.010037303,0.010846s
0.012703419,0.010870s
0.01346004,0.010842s
0.013357282,0.010831s
