Index,OFF_S,quic 
494,0.001207s,0.003302813
495,0.001210s,0.000236034
496,0.001226s,0.00056076
497,0.001270s,0.000215173
498,0.001247s,0.001093268
499,0.001236s,0.000249386
500,0.001263s,0.001393199
501,0.001222s,0.003226757
502,0.001260s,0.000280261
503,0.001237s,0.000105977
504,0.001259s,0.005226731
505,0.001254s,0.00355351
506,0.001267s,0.000345588
507,0.001243s,0.003403544
508,0.001235s,0.000629544
509,0.001272s,0.003760934
510,0.001247s,0.003629804
511,0.001252s,0.002644777
512,0.001254s,0.002987862
513,0.001235s,0.003141403
514,0.001260s,0.003444552
515,0.001252s,0.003943443
516,0.001227s,0.00322473
517,0.001229s,0.003114581
518,0.001231s,0.000202775
519,0.001277s,0.001460433
520,0.001232s,0.000418305
521,0.001256s,0.001706958
522,0.001242s,0.003785253
523,0.001215s,0.003727436
524,0.001209s,0.000725746
525,0.001228s,0.00309217
526,0.001223s,0.003696084
527,0.001234s,0.000526786
528,0.001255s,0.002933621
529,0.001217s,0.000354648
530,0.001270s,0.003458381
531,0.001272s,0.000426173
532,0.001210s,0.003203511
533,0.001258s,0.003166199
534,0.001251s,0.003359556
535,0.001266s,0.00359714
536,0.001257s,0.003760934
537,0.001266s,0.003326774
538,0.001240s,0.003053546
539,0.001251s,0.000465512
540,0.001209s,0.002917767
541,0.001235s,0.00355804
542,0.001239s,0.002970457
543,0.001245s,0.004512072
544,0.001238s,0.002367496
545,0.001230s,6.58E-05
546,0.001238s,0.003044486
547,0.001240s,0.003720641
548,0.001241s,0.00069809
549,0.001240s,0.003893733
550,0.001241s,0.000376105
551,0.001232s,0.002815485
552,0.001252s,0.003633499
553,0.001241s,0.003032446
554,0.001225s,0.003106356
555,0.001272s,0.002996445
556,0.001229s,0.003795266
557,0.001259s,0.002592683
558,0.001225s,-4.84E-05
559,0.001243s,0.000773549
560,0.001254s,0.003483653
561,0.001243s,0.003286242
562,0.001261s,0.004027128
563,0.001264s,0.00035882
564,0.001257s,0.000607729
565,0.001243s,0.004229307
566,0.001255s,0.005785108
567,0.001266s,0.00405097
568,0.001226s,0.000351667
569,0.001260s,0.000561476
570,0.001261s,0.003224015
571,0.001255s,0.00041008
572,0.001199s,0.000660181
573,0.001265s,0.003300667
574,0.001267s,0.003695965
575,0.001267s,0.003641725
576,0.001240s,0.00015533
577,0.001217s,0.003454447
578,0.001234s,0.003827333
579,0.001228s,0.00313592
580,0.001256s,0.000613213
581,0.001203s,0.003561616
582,0.001233s,0.000398993
583,0.001221s,0.003975749
584,0.001213s,0.003193259
585,0.001244s,0.002881408
586,0.001255s,0.000310779
587,0.001200s,0.001455069
588,0.001269s,0.00388515
589,0.001237s,0.003841162
590,0.001263s,0.000398755
591,0.001230s,0.002987027
592,0.001263s,0.003378153
593,0.001229s,0.001072407
594,0.001253s,0.003537297
595,0.001267s,-3.64E-05
596,0.001233s,0.003518224
597,0.001266s,0.004060626
598,0.001248s,0.000317693
599,0.001241s,0.003526688
600,0.001238s,0.003334641
601,0.001209s,0.003230453
602,0.001269s,0.000238299
603,0.001225s,0.00103581
604,0.001228s,0.003891945
605,0.001268s,0.004493594
606,0.001232s,0.003393531
607,0.001231s,0.003680944
608,0.001619s,0.003794312
609,0.001231s,0.004016042
610,0.001205s,0.003580213
611,0.001241s,0.003520608
612,0.001234s,0.000473142
613,0.001264s,0.003000021
614,0.001233s,0.003546715
615,0.001227s,0.004621148
616,0.001221s,0.003624201
617,0.001225s,0.003447175
618,0.001231s,0.003168106
619,0.001258s,0.003675818
620,0.001213s,0.005354285
621,0.001264s,0.003548026
622,0.001254s,0.000275135
623,0.001266s,0.003929853
624,0.001263s,0.004138947
625,0.001262s,0.003126025
626,0.001255s,0.003032327
627,0.001255s,0.00351274
628,0.001248s,0.003534317
629,0.001244s,0.00082159
630,0.001225s,0.003377199
631,0.001218s,0.000159979
632,0.001261s,0.003401995
633,0.001200s,0.003134847
634,0.001241s,0.003072739
635,0.001247s,0.000485539
636,0.001239s,0.004058719
637,0.001241s,0.000278711
638,0.001250s,0.003722072
639,0.001249s,0.003509998
640,0.001235s,0.003371
641,0.001231s,0.003955483
642,0.001240s,0.004088044
643,0.001281s,0.003477216
644,0.001242s,0.000534058
645,0.001239s,0.003299117
646,0.001240s,0.004443407
647,0.001246s,0.004638553
648,0.001250s,0.004674435
649,0.001225s,0.004156351
650,0.001253s,0.004457355
651,0.001240s,0.003441453
652,0.001205s,0.007170081
653,0.001240s,0.004422903
654,0.001245s,0.003550887
655,0.001253s,0.003710866
656,0.001229s,-0.001476407
657,0.001241s,0.004612327
658,0.001248s,0.003308296
659,0.001227s,0.003438592
660,0.001223s,0.003677011
661,0.001237s,0.003366709
662,0.001230s,0.003295064
663,0.001226s,0.000320792
664,0.001238s,0.003456712
665,0.001238s,0.003589392
666,0.001240s,0.00367713
667,0.001231s,0.000564694
668,0.001209s,0.001151919
669,0.001235s,0.002937555
670,0.001244s,0.004005551
671,0.001254s,0.003512263
672,0.001238s,0.000410438
673,0.001233s,0.00171721
674,0.001269s,0.003753543
675,0.001247s,0.003804207
676,0.001230s,0.003330827
677,0.001256s,0.004032969
678,0.001240s,0.000571251
679,0.001230s,0.001113534
680,0.001266s,0.001439452
681,0.001214s,0.0011307
682,0.001240s,0.002499342
683,0.001225s,0.001852632
684,0.001239s,0.003724813
685,0.001239s,0.003031015
686,0.001239s,0.001004934
687,0.001260s,0.003512502
688,0.001225s,-0.00213027
689,0.001224s,0.003634214
690,0.001225s,0.003813267
691,0.001231s,0.000176311
692,0.001217s,0.001522064
693,0.001213s,0.004384995
694,0.001214s,0.002130151
695,0.001259s,0.003724813
696,0.001216s,0.003753185
697,0.001206s,0.004122615
698,0.001224s,-4.15E-05
699,0.001203s,0.003321409
700,0.001236s,0.004217863
701,0.001253s,0.000640988
702,0.001264s,0.001512408
703,0.001267s,0.003663421
704,0.001238s,0.00404036
705,0.001250s,0.003447533
706,0.001239s,0.004181623
707,0.001247s,0.000123739
708,0.001267s,0.005056262
709,0.001255s,0.000517368
710,0.001247s,0.005023837
711,0.001230s,0.003503919
712,0.001264s,0.003877878
713,0.001251s,0.003832698
714,0.001270s,0.003781557
715,0.001230s,0.004124045
716,0.001188s,0.000103831
717,0.001240s,0.001695991
718,0.001231s,0.003384233
719,0.001244s,0.003782272
720,0.001197s,0.003928542
721,0.001232s,0.00379324
722,0.001236s,0.003600836
723,0.001259s,0.000294447
724,0.001260s,0.000361443
725,0.001229s,0.000750184
726,0.001224s,0.003250241
727,0.001231s,0.000422239
728,0.001259s,0.003050089
729,0.001222s,0.003913045
730,0.001239s,0.004147768
731,0.001201s,0.000289083
732,0.001235s,0.00336647
733,0.001245s,0.00420773
734,0.001232s,0.003709197
735,0.001253s,0.004272699
736,0.001257s,0.000471473
737,0.001263s,0.004153132
738,0.001245s,0.004254937
739,0.001252s,0.004220366
740,0.001249s,0.00351727
741,0.001190s,0.003060818
742,0.001235s,0.002854347
743,0.001268s,0.002914071
744,0.001258s,-0.002740622
745,0.001250s,0.000853539
746,0.001223s,7.88E-05
747,0.001212s,0.004827857
